3453.384 0.43986657095882714 12.438470977907059  0.086686542128 0.086056552723
3450.336 0.3921649551666242 14.47013284841961  0.06992882395500001 0.07484274131400001
3450.336 0.35907524995998835 15.756615677648767  0.064510915072 0.06829085150200001
3447.288 0.2981163704526138  17.80816106004221 0.052667114258000004 0.058337018903000006
3450.336 0.24814178209816082 19.240547131604956  0.049769162995000005 0.05455708247300001
3450.336 0.2165591640563578  20.00232819965896 0.04913917359 0.052793112139
3453.384 0.43986657095882714 12.438470977907059  0.048 0.048
3450.336 0.3921649551666242 14.47013284841961  0.048 0.048
3450.336 0.35907524995998835 15.756615677648767  0.048 0.048
3447.288 0.2981163704526138  17.80816106004221 0.048 0.048
3450.336 0.24814178209816082 19.240547131604956  0.048 0.048
3450.336 0.2165591640563578  20.00232819965896 0.048 0.048
